Name,Correspondence Code,,,,,,
Rizal,021521000,,,,,,
Sanchez-Mira,021522000,,,,,,
Santa Ana,021523000,,,,,,
Santa Praxedes,021524000,,,,,,
Santa Teresita,021525000,,,,,,
Santo Ni�o,021526000,,,,,,
Solana,021527000,,,,,,
Tuao,021528000,,,,,,
Tuguegarao City (Capital),021529000,,,,,,
Alicia,023101000,,,,,,
Angadanan,023102000,,,,,,
Aurora,023103000,,,,,,
Benito Soliven,023104000,,,,,,
Burgos,023105000,,,,,,
Cabagan,023106000,,,,,,
Cabatuan,023107000,,,,,,
City of Cauayan,023108000,,,,,,
Cordon,023109000,,,,,,
Dinapigue,023110000,,,,,,
Divilacan,023111000,,,,,,
Echague,023112000,,,,,,
Gamu,023113000,,,,,,
City of Ilagan (Capital),023114000,,,,,,
Jones,023115000,,,,,,
Luna,023116000,,,,,,
Maconacon,023117000,,,,,,
Delfin Albano,023118000,,,,,,
Mallig,023119000,,,,,,
Naguilian,023120000,,,,,,
Palanan,023121000,,,,,,
Quezon,023122000,,,,,,
Quirino,023123000,,,,,,
Ramon,023124000,,,,,,
Reina Mercedes,023125000,,,,,,
Roxas,023126000,,,,,,
San Agustin,023127000,,,,,,
San Guillermo,023128000,,,,,,
San Isidro,023129000,,,,,,
San Manuel,023130000,,,,,,
San Mariano,023131000,,,,,,
San Mateo,023132000,,,,,,
San Pablo,023133000,,,,,,
Santa Maria,023134000,,,,,,
City of Santiago,023135000,,,,,,
Santo Tomas,023136000,,,,,,
Tumauini,023137000,,,,,,
Ambaguio,025001000,,,,,,
Aritao,025002000,,,,,,
Bagabag,025003000,,,,,,
Bambang,025004000,,,,,,
Bayombong (Capital),025005000,,,,,,
Diadi,025006000,,,,,,
Dupax del Norte,025007000,,,,,,
Dupax del Sur,025008000,,,,,,
Kasibu,025009000,,,,,,
Kayapa,025010000,,,,,,
Quezon,025011000,,,,,,
Santa Fe,025012000,,,,,,
Solano,025013000,,,,,,
Villaverde,025014000,,,,,,
Alfonso Castaneda,025015000,,,,,,
Aglipay,025701000,,,,,,
Cabarroguis (Capital),025702000,,,,,,
Diffun,025703000,,,,,,
Maddela,025704000,,,,,,
Saguday,025705000,,,,,,
Nagtipunan,025706000,,,,,,
Abucay,030801000,,,,,,
Bagac,030802000,,,,,,
City of Balanga (Capital),030803000,,,,,,
Dinalupihan,030804000,,,,,,
Hermosa,030805000,,,,,,
Limay,030806000,,,,,,
Mariveles,030807000,,,,,,
Morong,030808000,,,,,,
Orani,030809000,,,,,,
Orion,030810000,,,,,,
Pilar,030811000,,,,,,
Samal,030812000,,,,,,
Angat,031401000,,,,,,
Balagtas,031402000,,,,,,
Baliuag,031403000,,,,,,
Bocaue,031404000,,,,,,
Bulacan,031405000,,,,,,
Bustos,031406000,,,,,,
Calumpit,031407000,,,,,,
Guiguinto,031408000,,,,,,
Hagonoy,031409000,,,,,,
City of Malolos (Capital),031410000,,,,,,
Marilao,031411000,,,,,,
City of Meycauayan,031412000,,,,,,
Norzagaray,031413000,,,,,,
Obando,031414000,,,,,,
Pandi,031415000,,,,,,
Paombong,031416000,,,,,,
Plaridel,031417000,,,,,,
Pulilan,031418000,,,,,,
San Ildefonso,031419000,,,,,,
City of San Jose Del Monte,031420000,,,,,,
San Miguel,031421000,,,,,,
San Rafael,031422000,,,,,,
Santa Maria,031423000,,,,,,
Do�a Remedios Trinidad,031424000,,,,,,
Aliaga,034901000,,,,,,
Bongabon,034902000,,,,,,
City of Cabanatuan,034903000,,,,,,
Cabiao,034904000,,,,,,
Carranglan,034905000,,,,,,
Cuyapo,034906000,,,,,,
Gabaldon,034907000,,,,,,
City of Gapan,034908000,,,,,,
General Mamerto Natividad,034909000,,,,,,
General Tinio,034910000,,,,,,
Guimba,034911000,,,,,,
Jaen,034912000,,,,,,
Laur,034913000,,,,,,
Licab,034914000,,,,,,
Llanera,034915000,,,,,,
Lupao,034916000,,,,,,
Science City of Mu�oz,034917000,,,,,,
Nampicuan,034918000,,,,,,
City of Palayan (Capital),034919000,,,,,,
Pantabangan,034920000,,,,,,
Pe�aranda,034921000,,,,,,
Quezon,034922000,,,,,,
Rizal,034923000,,,,,,
San Antonio,034924000,,,,,,
San Isidro,034925000,,,,,,
San Jose City,034926000,,,,,,
San Leonardo,034927000,,,,,,
Santa Rosa,034928000,,,,,,
Santo Domingo,034929000,,,,,,
Talavera,034930000,,,,,,
Talugtug,034931000,,,,,,
Zaragoza,034932000,,,,,,
City of Angeles,035401000,,,,,,
Apalit,035402000,,,,,,
Arayat,035403000,,,,,,
Bacolor,035404000,,,,,,
Candaba,035405000,,,,,,
Floridablanca,035406000,,,,,,
Guagua,035407000,,,,,,
Lubao,035408000,,,,,,
Mabalacat City,035409000,,,,,,
Macabebe,035410000,,,,,,
Magalang,035411000,,,,,,
Masantol,035412000,,,,,,
Mexico,035413000,,,,,,
Minalin,035414000,,,,,,
Porac,035415000,,,,,,
City of San Fernando (Capital),035416000,,,,,,
San Luis,035417000,,,,,,
San Simon,035418000,,,,,,
Santa Ana,035419000,,,,,,
Santa Rita,035420000,,,,,,
Sto. Tomas,035421000,,,,,,
Sasmuan,035422000,,,,,,
Anao,036901000,,,,,,
Bamban,036902000,,,,,,
Camiling,036903000,,,,,,
Capas,036904000,,,,,,
Concepcion,036905000,,,,,,
Gerona,036906000,,,,,,
La Paz,036907000,,,,,,
Mayantoc,036908000,,,,,,
Moncada,036909000,,,,,,
Paniqui,036910000,,,,,,
Pura,036911000,,,,,,
Ramos,036912000,,,,,,
San Clemente,036913000,,,,,,
San Manuel,036914000,,,,,,
Santa Ignacia,036915000,,,,,,
City of Tarlac (Capital),036916000,,,,,,
Victoria,036917000,,,,,,
San Jose,036918000,,,,,,
Botolan,037101000,,,,,,
Cabangan,037102000,,,,,,
Candelaria,037103000,,,,,,
Castillejos,037104000,,,,,,
Iba (Capital),037105000,,,,,,
Masinloc,037106000,,,,,,
City of Olongapo,037107000,,,,,,
Palauig,037108000,,,,,,
San Antonio,037109000,,,,,,
San Felipe,037110000,,,,,,
San Marcelino,037111000,,,,,,
San Narciso,037112000,,,,,,
Santa Cruz,037113000,,,,,,
Subic,037114000,,,,,,
Baler (Capital),037701000,,,,,,
Casiguran,037702000,,,,,,
Dilasag,037703000,,,,,,
Dinalungan,037704000,,,,,,
Dingalan,037705000,,,,,,
Dipaculao,037706000,,,,,,
Maria Aurora,037707000,,,,,,
San Luis,037708000,,,,,,
Agoncillo,041001000,,,,,,
Alitagtag,041002000,,,,,,
Balayan,041003000,,,,,,
Balete,041004000,,,,,,
Batangas City (Capital),041005000,,,,,,
Bauan,041006000,,,,,,
Calaca,041007000,,,,,,
Calatagan,041008000,,,,,,
Cuenca,041009000,,,,,,
Ibaan,041010000,,,,,,
Laurel,041011000,,,,,,
Lemery,041012000,,,,,,
Lian,041013000,,,,,,
City of Lipa,041014000,,,,,,
Lobo,041015000,,,,,,
Mabini,041016000,,,,,,
Malvar,041017000,,,,,,
Mataasnakahoy,041018000,,,,,,
Nasugbu,041019000,,,,,,
Padre Garcia,041020000,,,,,,
Rosario,041021000,,,,,,
San Jose,041022000,,,,,,
San Juan,041023000,,,,,,
San Luis,041024000,,,,,,
San Nicolas,041025000,,,,,,
San Pascual,041026000,,,,,,
Santa Teresita,041027000,,,,,,
City of Sto. Tomas,041028000,,,,,,
Taal,041029000,,,,,,
Talisay,041030000,,,,,,
City of Tanauan,041031000,,,,,,
Taysan,041032000,,,,,,
Tingloy,041033000,,,,,,
Tuy,041034000,,,,,,
Alfonso,042101000,,,,,,
Amadeo,042102000,,,,,,
City of Bacoor,042103000,,,,,,
Carmona,042104000,,,,,,
City of Cavite,042105000,,,,,,
City of Dasmari�as,042106000,,,,,,
General Emilio Aguinaldo,042107000,,,,,,
City of General Trias,042108000,,,,,,
City of Imus,042109000,,,,,,
Indang,042110000,,,,,,
Kawit,042111000,,,,,,
Magallanes,042112000,,,,,,
Maragondon,042113000,,,,,,
Mendez,042114000,,,,,,
Naic,042115000,,,,,,
Noveleta,042116000,,,,,,
Rosario,042117000,,,,,,
Silang,042118000,,,,,,
City of Tagaytay,042119000,,,,,,
Tanza,042120000,,,,,,
Ternate,042121000,,,,,,
City of Trece Martires (Capital),042122000,,,,,,
Gen. Mariano Alvarez,042123000,,,,,,
Alaminos,043401000,,,,,,
Bay,043402000,,,,,,
City of Bi�an,043403000,,,,,,
City of Cabuyao,043404000,,,,,,
City of Calamba,043405000,,,,,,
Calauan,043406000,,,,,,
Cavinti,043407000,,,,,,
Famy,043408000,,,,,,
Kalayaan,043409000,,,,,,
Liliw,043410000,,,,,,
Los Ba�os,043411000,,,,,,
Luisiana,043412000,,,,,,
Lumban,043413000,,,,,,
Mabitac,043414000,,,,,,
Magdalena,043415000,,,,,,
Majayjay,043416000,,,,,,
Nagcarlan,043417000,,,,,,
Paete,043418000,,,,,,
Pagsanjan,043419000,,,,,,
Pakil,043420000,,,,,,
Pangil,043421000,,,,,,
Pila,043422000,,,,,,
Rizal,043423000,,,,,,
City of San Pablo,043424000,,,,,,
City of San Pedro,043425000,,,,,,
Santa Cruz (Capital),043426000,,,,,,
Santa Maria,043427000,,,,,,
City of Santa Rosa,043428000,,,,,,
Siniloan,043429000,,,,,,
Victoria,043430000,,,,,,
Agdangan,045601000,,,,,,
Alabat,045602000,,,,,,
Atimonan,045603000,,,,,,
Buenavista,045605000,,,,,,
Burdeos,045606000,,,,,,
Calauag,045607000,,,,,,
Candelaria,045608000,,,,,,
Catanauan,045610000,,,,,,
Dolores,045615000,,,,,,
General Luna,045616000,,,,,,
General Nakar,045617000,,,,,,
Guinayangan,045618000,,,,,,
Gumaca,045619000,,,,,,
Infanta,045620000,,,,,,
Jomalig,045621000,,,,,,
Lopez,045622000,,,,,,
Lucban,045623000,,,,,,
City of Lucena (Capital),045624000,,,,,,
Macalelon,045625000,,,,,,
Mauban,045627000,,,,,,
Mulanay,045628000,,,,,,
Padre Burgos,045629000,,,,,,
Pagbilao,045630000,,,,,,
Panukulan,045631000,,,,,,
Patnanungan,045632000,,,,,,
Perez,045633000,,,,,,
Pitogo,045634000,,,,,,
Plaridel,045635000,,,,,,
Polillo,045636000,,,,,,
Quezon,045637000,,,,,,
Real,045638000,,,,,,
Sampaloc,045639000,,,,,,
San Andres,045640000,,,,,,
San Antonio,045641000,,,,,,
San Francisco,045642000,,,,,,
San Narciso,045644000,,,,,,
Sariaya,045645000,,,,,,
Tagkawayan,045646000,,,,,,
City of Tayabas,045647000,,,,,,
Tiaong,045648000,,,,,,
Unisan,045649000,,,,,,
Angono,045801000,,,,,,
City of Antipolo (Capital),045802000,,,,,,
Baras,045803000,,,,,,
Binangonan,045804000,,,,,,
Cainta,045805000,,,,,,
Cardona,045806000,,,,,,
Jala-Jala,045807000,,,,,,
Rodriguez,045808000,,,,,,
Morong,045809000,,,,,,
Pililla,045810000,,,,,,
San Mateo,045811000,,,,,,
Tanay,045812000,,,,,,
Taytay,045813000,,,,,,
Teresa,045814000,,,,,,
Boac (Capital),174001000,,,,,,
Buenavista,174002000,,,,,,
Gasan,174003000,,,,,,
Mogpog,174004000,,,,,,
Santa Cruz,174005000,,,,,,
Torrijos,174006000,,,,,,
Abra De Ilog,175101000,,,,,,
Calintaan,175102000,,,,,,
Looc,175103000,,,,,,
Lubang,175104000,,,,,,
Magsaysay,175105000,,,,,,
Mamburao (Capital),175106000,,,,,,
Paluan,175107000,,,,,,
Rizal,175108000,,,,,,
Sablayan,175109000,,,,,,
San Jose,175110000,,,,,,
Santa Cruz,175111000,,,,,,
Baco,175201000,,,,,,
Bansud,175202000,,,,,,
Bongabong,175203000,,,,,,
Bulalacao,175204000,,,,,,
City of Calapan (Capital),175205000,,,,,,
Gloria,175206000,,,,,,
Mansalay,175207000,,,,,,
Naujan,175208000,,,,,,
Pinamalayan,175209000,,,,,,
Pola,175210000,,,,,,
Puerto Galera,175211000,,,,,,
Roxas,175212000,,,,,,
San Teodoro,175213000,,,,,,
Socorro,175214000,,,,,,
Victoria,175215000,,,,,,
Aborlan,175301000,,,,,,
Agutaya,175302000,,,,,,
Araceli,175303000,,,,,,
Balabac,175304000,,,,,,
Bataraza,175305000,,,,,,
Brooke'S Point,175306000,,,,,,
Busuanga,175307000,,,,,,
Cagayancillo,175308000,,,,,,
Coron,175309000,,,,,,
Cuyo,175310000,,,,,,
Dumaran,175311000,,,,,,
El Nido,175312000,,,,,,
Linapacan,175313000,,,,,,
Magsaysay,175314000,,,,,,
Narra,175315000,,,,,,
City of Puerto Princesa (Capital),175316000,,,,,,
Quezon,175317000,,,,,,
Roxas,175318000,,,,,,
San Vicente,175319000,,,,,,
Taytay,175320000,,,,,,
Kalayaan,175321000,,,,,,
Culion,175322000,,,,,,
Rizal,175323000,,,,,,
Sofronio Espa�ola,175324000,,,,,,
Alcantara,175901000,,,,,,
Banton,175902000,,,,,,
Cajidiocan,175903000,,,,,,
Calatrava,175904000,,,,,,
Concepcion,175905000,,,,,,
Corcuera,175906000,,,,,,
Looc,175907000,,,,,,
Magdiwang,175908000,,,,,,
Odiongan,175909000,,,,,,
Romblon (Capital),175910000,,,,,,
San Agustin,175911000,,,,,,
San Andres,175912000,,,,,,
San Fernando,175913000,,,,,,
San Jose,175914000,,,,,,
Santa Fe,175915000,,,,,,
Ferrol,175916000,,,,,,
Santa Maria,175917000,,,,,,
Bacacay,050501000,,,,,,
Camalig,050502000,,,,,,
Daraga,050503000,,,,,,
Guinobatan,050504000,,,,,,
Jovellar,050505000,,,,,,
City of Legazpi (Capital),050506000,,,,,,
Libon,050507000,,,,,,
City of Ligao,050508000,,,,,,
Malilipot,050509000,,,,,,
Malinao,050510000,,,,,,
Manito,050511000,,,,,,
Oas,050512000,,,,,,
Pio Duran,050513000,,,,,,
Polangui,050514000,,,,,,
Rapu-Rapu,050515000,,,,,,
Santo Domingo,050516000,,,,,,
City of Tabaco,050517000,,,,,,
Tiwi,050518000,,,,,,
Basud,051601000,,,,,,
Capalonga,051602000,,,,,,
Daet (Capital),051603000,,,,,,
San Lorenzo Ruiz,051604000,,,,,,
Jose Panganiban,051605000,,,,,,
Labo,051606000,,,,,,
Mercedes,051607000,,,,,,
Paracale,051608000,,,,,,
San Vicente,051609000,,,,,,
Santa Elena,051610000,,,,,,
Talisay,051611000,,,,,,
Vinzons,051612000,,,,,,
Baao,051701000,,,,,,
Balatan,051702000,,,,,,
Bato,051703000,,,,,,
Bombon,051704000,,,,,,
Buhi,051705000,,,,,,
Bula,051706000,,,,,,
Cabusao,051707000,,,,,,
Calabanga,051708000,,,,,,
Camaligan,051709000,,,,,,
Canaman,051710000,,,,,,
Caramoan,051711000,,,,,,
Del Gallego,051712000,,,,,,
Gainza,051713000,,,,,,
Garchitorena,051714000,,,,,,
Goa,051715000,,,,,,
City of Iriga,051716000,,,,,,
Lagonoy,051717000,,,,,,
Libmanan,051718000,,,,,,
Lupi,051719000,,,,,,
Magarao,051720000,,,,,,
Milaor,051721000,,,,,,
Minalabac,051722000,,,,,,
Nabua,051723000,,,,,,
City of Naga,051724000,,,,,,
Ocampo,051725000,,,,,,
Pamplona,051726000,,,,,,
Pasacao,051727000,,,,,,
Pili (Capital),051728000,,,,,,
Presentacion,051729000,,,,,,
Ragay,051730000,,,,,,
Sag�ay,051731000,,,,,,
San Fernando,051732000,,,,,,
San Jose,051733000,,,,,,
Sipocot,051734000,,,,,,
Siruma,051735000,,,,,,
Tigaon,051736000,,,,,,
Tinambac,051737000,,,,,,
Bagamanoc,052001000,,,,,,
Baras,052002000,,,,,,
Bato,052003000,,,,,,
Caramoran,052004000,,,,,,
Gigmoto,052005000,,,,,,
Pandan,052006000,,,,,,
Panganiban,052007000,,,,,,
San Andres,052008000,,,,,,
San Miguel,052009000,,,,,,
Viga,052010000,,,,,,
Virac (Capital),052011000,,,,,,
Aroroy,054101000,,,,,,
Baleno,054102000,,,,,,
Balud,054103000,,,,,,
Batuan,054104000,,,,,,
Cataingan,054105000,,,,,,
Cawayan,054106000,,,,,,
Claveria,054107000,,,,,,
Dimasalang,054108000,,,,,,
Esperanza,054109000,,,,,,
Mandaon,054110000,,,,,,
City of Masbate (Capital),054111000,,,,,,
Milagros,054112000,,,,,,
Mobo,054113000,,,,,,
Monreal,054114000,,,,,,
Palanas,054115000,,,,,,
Pio V. Corpuz,054116000,,,,,,
Placer,054117000,,,,,,
San Fernando,054118000,,,,,,
San Jacinto,054119000,,,,,,
San Pascual,054120000,,,,,,
Uson,054121000,,,,,,
Barcelona,056202000,,,,,,
Bulan,056203000,,,,,,
Bulusan,056204000,,,,,,
Casiguran,056205000,,,,,,
Castilla,056206000,,,,,,
Donsol,056207000,,,,,,
Gubat,056208000,,,,,,
Irosin,056209000,,,,,,
Juban,056210000,,,,,,
Magallanes,056211000,,,,,,
Matnog,056212000,,,,,,
Pilar,056213000,,,,,,
Prieto Diaz,056214000,,,,,,
Santa Magdalena,056215000,,,,,,
City of Sorsogon (Capital),056216000,,,,,,
Altavas,060401000,,,,,,
Balete,060402000,,,,,,
Banga,060403000,,,,,,
Batan,060404000,,,,,,
Buruanga,060405000,,,,,,
Ibajay,060406000,,,,,,
Kalibo (Capital),060407000,,,,,,
Lezo,060408000,,,,,,
Libacao,060409000,,,,,,
Madalag,060410000,,,,,,
Makato,060411000,,,,,,
Malay,060412000,,,,,,
Malinao,060413000,,,,,,
Nabas,060414000,,,,,,
New Washington,060415000,,,,,,
Numancia,060416000,,,,,,
Tangalan,060417000,,,,,,
Anini-Y,060601000,,,,,,
Barbaza,060602000,,,,,,
Belison,060603000,,,,,,
Bugasong,060604000,,,,,,
Caluya,060605000,,,,,,
Culasi,060606000,,,,,,
Tobias Fornier,060607000,,,,,,
Hamtic,060608000,,,,,,
Laua-An,060609000,,,,,,
Libertad,060610000,,,,,,
Pandan,060611000,,,,,,
Patnongon,060612000,,,,,,
San Jose (Capital),060613000,,,,,,
San Remigio,060614000,,,,,,
Sebaste,060615000,,,,,,
Sibalom,060616000,,,,,,
Tibiao,060617000,,,,,,
Valderrama,060618000,,,,,,
Cuartero,061901000,,,,,,
Dao,061902000,,,,,,
Dumalag,061903000,,,,,,
Dumarao,061904000,,,,,,
Ivisan,061905000,,,,,,
Jamindan,061906000,,,,,,
Ma-Ayon,061907000,,,,,,
Mambusao,061908000,,,,,,
Panay,061909000,,,,,,
Panitan,061910000,,,,,,
Pilar,061911000,,,,,,
Pontevedra,061912000,,,,,,
President Roxas,061913000,,,,,,
City of Roxas (Capital),061914000,,,,,,
Sapi-An,061915000,,,,,,
Sigma,061916000,,,,,,
Tapaz,061917000,,,,,,
Ajuy,063001000,,,,,,
Alimodian,063002000,,,,,,
Anilao,063003000,,,,,,
Badiangan,063004000,,,,,,
Balasan,063005000,,,,,,
Banate,063006000,,,,,,
Barotac Nuevo,063007000,,,,,,
Barotac Viejo,063008000,,,,,,
Batad,063009000,,,,,,
Bingawan,063010000,,,,,,
Cabatuan,063012000,,,,,,
Calinog,063013000,,,,,,
Carles,063014000,,,,,,
Concepcion,063015000,,,,,,
Dingle,063016000,,,,,,
Due�as,063017000,,,,,,
Dumangas,063018000,,,,,,
Estancia,063019000,,,,,,
Guimbal,063020000,,,,,,
Igbaras,063021000,,,,,,
City of Iloilo (Capital),063022000,,,,,,
Janiuay,063023000,,,,,,
Lambunao,063025000,,,,,,
Leganes,063026000,,,,,,
Lemery,063027000,,,,,,
Leon,063028000,,,,,,
Maasin,063029000,,,,,,
Miagao,063030000,,,,,,
Mina,063031000,,,,,,
New Lucena,063032000,,,,,,
Oton,063034000,,,,,,
City of Passi,063035000,,,,,,
Pavia,063036000,,,,,,
Pototan,063037000,,,,,,
San Dionisio,063038000,,,,,,
San Enrique,063039000,,,,,,
San Joaquin,063040000,,,,,,
San Miguel,063041000,,,,,,
San Rafael,063042000,,,,,,
Santa Barbara,063043000,,,,,,
Sara,063044000,,,,,,
Tigbauan,063045000,,,,,,
Tubungan,063046000,,,,,,
Zarraga,063047000,,,,,,
City of Bacolod (Capital),064501000,,,,,,
City of Bago,064502000,,,,,,
Binalbagan,064503000,,,,,,
City of Cadiz,064504000,,,,,,
Calatrava,064505000,,,,,,
Candoni,064506000,,,,,,
Cauayan,064507000,,,,,,
Enrique B. Magalona,064508000,,,,,,
City of Escalante,064509000,,,,,,
City of Himamaylan,064510000,,,,,,
Hinigaran,064511000,,,,,,
Hinoba-an,064512000,,,,,,
Ilog,064513000,,,,,,
Isabela,064514000,,,,,,
City of Kabankalan,064515000,,,,,,
City of La Carlota,064516000,,,,,,
La Castellana,064517000,,,,,,
Manapla,064518000,,,,,,
Moises Padilla,064519000,,,,,,
Murcia,064520000,,,,,,
Pontevedra,064521000,,,,,,
Pulupandan,064522000,,,,,,
City of Sagay,064523000,,,,,,
City of San Carlos,064524000,,,,,,
San Enrique,064525000,,,,,,
City of Silay,064526000,,,,,,
City of Sipalay,064527000,,,,,,
City of Talisay,064528000,,,,,,
Toboso,064529000,,,,,,
Valladolid,064530000,,,,,,
City of Victorias,064531000,,,,,,
Salvador Benedicto,064532000,,,,,,
Buenavista,067901000,,,,,,
Jordan (Capital),067902000,,,,,,
Nueva Valencia,067903000,,,,,,
San Lorenzo,067904000,,,,,,
Sibunag,067905000,,,,,,
Alburquerque,071201000,,,,,,
Alicia,071202000,,,,,,
Anda,071203000,,,,,,
Antequera,071204000,,,,,,
Baclayon,071205000,,,,,,
Balilihan,071206000,,,,,,
Batuan,071207000,,,,,,
Bilar,071208000,,,,,,
Buenavista,071209000,,,,,,
Calape,071210000,,,,,,
Candijay,071211000,,,,,,
Carmen,071212000,,,,,,
Catigbian,071213000,,,,,,
Clarin,071214000,,,,,,
Corella,071215000,,,,,,
Cortes,071216000,,,,,,
Dagohoy,071217000,,,,,,
Danao,071218000,,,,,,
Dauis,071219000,,,,,,
Dimiao,071220000,,,,,,
Duero,071221000,,,,,,
Garcia Hernandez,071222000,,,,,,
Guindulman,071223000,,,,,,
Inabanga,071224000,,,,,,
Jagna,071225000,,,,,,
Getafe,071226000,,,,,,
Lila,071227000,,,,,,
Loay,071228000,,,,,,
Loboc,071229000,,,,,,
Loon,071230000,,,,,,
Mabini,071231000,,,,,,
Maribojoc,071232000,,,,,,
Panglao,071233000,,,,,,
Pilar,071234000,,,,,,
President Carlos P. Garcia,071235000,,,,,,
Sagbayan,071236000,,,,,,
San Isidro,071237000,,,,,,
San Miguel,071238000,,,,,,
Sevilla,071239000,,,,,,
Sierra Bullones,071240000,,,,,,
Sikatuna,071241000,,,,,,
City of Tagbilaran (Capital),071242000,,,,,,
Talibon,071243000,,,,,,
Trinidad,071244000,,,,,,
Tubigon,071245000,,,,,,
Ubay,071246000,,,,,,
Valencia,071247000,,,,,,
Bien Unido,071248000,,,,,,
Alcantara,072201000,,,,,,
Alcoy,072202000,,,,,,
Alegria,072203000,,,,,,
Aloguinsan,072204000,,,,,,
Argao,072205000,,,,,,
